Title,Year
Reservoir Dogs,1992
Groundhog Day,1993
Paddington 2,2017
Amélie,2001
Brokeback Mountain,2005
Donnie Darko,2001
Scott Pilgrim Vs. The World,2010
Portrait Of A Lady On Fire,2020
Léon: The Professional,1994
Logan,2017
The Terminator,1984
No Country For Old Men,2007
Titanic,1997
The Exorcist,1973
Black Panther,2018
Shaun Of The Dead,2004
Lost In Translation,2003
Thor: Ragnarok,2017
The Usual Suspects,1995
Psycho,1960
L.A. Confidential,1997
E.T. The Extra Terrestrial,1982
In The Mood For Love,2000
Star Wars: Return Of The Jedi,1983
Arrival,2016
A Quiet Place,2018
Trainspotting,1996
Mulholland Drive,2001
Rear Window,1954
Up,2009
Spider-Man: Into The Spider-Verse,2018
Inglourious Basterds,2009
Lady Bird,2017
Singin' In The Rain,1952
One Flew Over The Cuckoo's Nest,1975
Seven Samurai,1954
La La Land,2016
Get Out,2017
Lawrence Of Arabia,1962
Pan's Labyrinth,2006
Hot Fuzz,2007
Moonlight,2016
Guardians Of The Galaxy,2014
Blade Runner 2049,2017
The Social Network,2010
Taxi Driver,1976
Saving Private Ryan,1998
Forrest Gump,1994
Point Break,1991
Whiplash,2014
Vertigo,1958
Spirited Away,2001
Ghostbusters,1984
Do The Right Thing,1989
Schindler's List,1993
The Big Lebowski,1998
It's A Wonderful Life,1946
There Will Be Blood,2007
12 Angry Men,1957
The Silence Of The Lambs,1991
Citizen Kane,1941
Gladiator,2000
"The Good, The Bad And The Ugly",1966
Seven,1995
Eternal Sunshine Of The Spotless Mind,2004
The Shining,1980
The Lord Of The Rings: The Two Towers,2002
Casablanca,1942
The Thing,1982
Interstellar,2014
Heat,1995
Apocalypse Now,1979
Indiana Jones And The Last Crusade,1989
The Lord Of The Rings: The Return Of The King,2003
Die Hard,1988
Fight Club,1999
Terminator 2: Judgment Day,1991
2001: A Space Odyssey,1968
Avengers: Endgame,2019
Alien,1979
The Matrix,1999
Inception,2010
Parasite,2019
Aliens,1986
Blade Runner,1982
Jurassic Park,1993
The Godfather Part II,1974
Back To The Future,1985
Mad Max: Fury Road,2015
Star Wars,1977
Goodfellas,1990
Raiders Of The Lost Ark,1981
Avengers: Infinity War,2018
Pulp Fiction,1994
Jaws,1975
The Shawshank Redemption,1994
The Dark Knight,2008
The Godfather,1972
Star Wars: The Empire Strikes Back,1980
The Lord Of The Rings: The Fellowship Of The Ring,2001
